kljuc_igre,kljuc_razvijalca,razvijalec
2384,666358,GRIN
15278,666358,GRIN
11514,666358,GRIN
11979,666358,GRIN
31520,666358,GRIN
14820,666358,GRIN
4205,666360,Ubisoft Shanghai
3755,666360,Ubisoft Shanghai
12080,666360,Ubisoft Shanghai
9662,666360,Ubisoft Shanghai
7322,666360,Ubisoft Shanghai
12074,666360,Ubisoft Shanghai
12946,666360,Ubisoft Shanghai
14899,666360,Ubisoft Shanghai
622,666363,TimeGate Studios
3893,666363,TimeGate Studios
5093,666364,Deadline Games
8227,666364,Deadline Games
40961,666364,Deadline Games
838,666369,Mercury Steam
7197,666369,Mercury Steam
20788,666369,Mercury Steam
840,666370,Raven Software
3895,666370,Raven Software
3895,666370,Raven Software
4987,666370,Raven Software
7270,666370,Raven Software
7842,666370,Raven Software
7410,666370,Raven Software
7737,666370,Raven Software
8767,666370,Raven Software
112128,666370,Raven Software
12496,666370,Raven Software
4986,666370,Raven Software
844,666372,Replay Studios
3669,666372,Replay Studios
2482,666373,Frozenbyte
2483,666373,Frozenbyte
93659,666373,Frozenbyte
856,666375,Vigil Games
7869,666375,Vigil Games
7870,666375,Vigil Games
9105,666375,Vigil Games
9509,666375,Vigil Games
11067,666375,Vigil Games
11661,666375,Vigil Games
4037,666377,Gas Powered Games
5762,666383,High Moon Studios
6906,666383,High Moon Studios
5762,666383,High Moon Studios
23219,666383,High Moon Studios
16775,666383,High Moon Studios
884,666387,People Can Fly
8105,666387,People Can Fly
10460,666387,People Can Fly
5835,666387,People Can Fly
11064,666387,People Can Fly
7992,666390,Eidos Montreal
8982,666390,Eidos Montreal
17454,666390,Eidos Montreal
14148,666390,Eidos Montreal
10305,666391,Ubisoft Montpellier
12001,666392,WizarBox
65073,666392,WizarBox
895,666393,Amuze
10204,666393,Amuze
6999,666393,Amuze
10193,666393,Amuze
903,666396,Klei Entertainment
8727,666396,Klei Entertainment
11187,666396,Klei Entertainment
13590,666396,Klei Entertainment
15996,666396,Klei Entertainment
13591,666396,Klei Entertainment
906,666397,2K Czech
11918,666397,2K Czech
11919,666397,2K Czech
11916,666397,2K Czech
7164,666399,City Interactive
30773,666399,City Interactive
13029,666399,City Interactive
908,666399,City Interactive
15566,666399,City Interactive
19201,666399,City Interactive
5027,666403,Beenox
29318,666403,Beenox
112128,666403,Beenox
29239,666407,3D Realms
497,666409,Probe Entertainment
9073,666409,Probe Entertainment
4666,666409,Probe Entertainment
14689,666409,Probe Entertainment
78021,666409,Probe Entertainment
10878,666409,Probe Entertainment
9476,666409,Probe Entertainment
5107,666412,Appaloosa Interactive
45290,666412,Appaloosa Interactive
11173,666412,Appaloosa Interactive
2297,666419,Probe Software
12655,666419,Probe Software
2286,666442,Human Entertainment
2284,666442,Human Entertainment
4559,666460,VIS Entertainment
5139,666460,VIS Entertainment
16548,666460,VIS Entertainment
